"item","factor1","factor2","R0","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","CompQuestion","CorrectAns"
"10b","mismatch","cc","_ ___ _______ __ ____ _____ ___ ___ ___________ __ _____ ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ ______ ___ ___ _ ___ _____ ____ ____ ____ ___ _____","I was talking to Mary _____ ___ ___ ___________ __ _____ ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ ______ ___ ___ _ ___ _____ ____ ____ ____ ___ _____","_ ___ _______ __ ____ about the car dealership. __ _____ ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ ______ ___ ___ _ ___ _____ ____ ____ ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ It seems ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ ______ ___ ___ _ ___ _____ ____ ____ ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ __ _____ each salesman ____ _ _____ ___ ________ ___ _ ___ ______ ______ ___ ___ _ ___ _____ ____ ____ ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ __ _____ ____ ________ sold a brand new Mercedes ___ _ ___ ______ ______ ___ ___ _ ___ _____ ____ ____ ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ __ _____ ____ ________ ____ _ _____ ___ ________ for a big profit ______ ___ ___ _ ___ _____ ____ ____ ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ __ _____ ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ before she ___ _ ___ _____ ____ ____ ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ __ _____ ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ ______ ___ got a big bonus ____ ____ ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ __ _____ ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ ______ ___ ___ _ ___ _____ this year ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ __ _____ ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ ______ ___ ___ _ ___ _____ ____ ____ from the boss.","Did Mary wash the dishes?","y"
"10c","match","nocc","_ ___ _______ __ ____ _____ ___ ___ ___________ _____ ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ __ _____ __ ___ _ ___ _____ ____ ____ ____ ___ _____","I was talking to Mary _____ ___ ___ ___________ _____ ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ __ _____ __ ___ _ ___ _____ ____ ____ ____ ___ _____","_ ___ _______ __ ____ about the car dealership. _____ ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ __ _____ __ ___ _ ___ _____ ____ ____ ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ After ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ __ _____ __ ___ _ ___ _____ ____ ____ ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ _____ each salesman ____ _ _____ ___ ________ ___ _ ___ ______ __ _____ __ ___ _ ___ _____ ____ ____ ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ _____ ____ ________ sold a brand new Mercedes ___ _ ___ ______ __ _____ __ ___ _ ___ _____ ____ ____ ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ _____ ____ ________ ____ _ _____ ___ ________ for a big profit __ _____ __ ___ _ ___ _____ ____ ____ ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ _____ ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ it seems he ___ _ ___ _____ ____ ____ ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ _____ ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ __ _____ __ got a big bonus ____ ____ ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ _____ ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ __ _____ __ ___ _ ___ _____ this year ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ _____ ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ __ _____ __ ___ _ ___ _____ ____ ____ from the boss.","Did Mary wash the dishes?","n"
"10d","match","cc","_ ___ _______ __ ____ _____ ___ ___ ___________ __ _____ ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ ______ __ ___ _ ___ _____ ____ ____ ____ ___ _____","I was talking to Mary _____ ___ ___ ___________ __ _____ ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ ______ __ ___ _ ___ _____ ____ ____ ____ ___ _____","_ ___ _______ __ ____ about the car dealership. __ _____ ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ ______ __ ___ _ ___ _____ ____ ____ ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ It seems ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ ______ __ ___ _ ___ _____ ____ ____ ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ __ _____ each salesman ____ _ _____ ___ ________ ___ _ ___ ______ ______ __ ___ _ ___ _____ ____ ____ ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ __ _____ ____ ________ sold a brand new Mercedes ___ _ ___ ______ ______ __ ___ _ ___ _____ ____ ____ ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ __ _____ ____ ________ ____ _ _____ ___ ________ for a big profit ______ __ ___ _ ___ _____ ____ ____ ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ __ _____ ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ before he ___ _ ___ _____ ____ ____ ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ __ _____ ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ ______ __ got a big bonus ____ ____ ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ __ _____ ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ ______ __ ___ _ ___ _____ this year ____ ___ _____","_ ___ _______ __ ____ _____ ___ ___ ___________ __ _____ ____ ________ ____ _ _____ ___ ________ ___ _ ___ ______ ______ __ ___ _ ___ _____ ____ ____ from the boss.","Did Mary wash the dishes?","y"
"11a","mismatch","nocc","__ ____ _________ __ _____ ____ _ ______ ____ ____ ______ ____ ___ __ ___ ____ _______ ____ _______ __ _______ __ ___ _ __________ _________ ____ ___ _____","We were listening to _____ ____ _ ______ ____ ____ ______ ____ ___ __ ___ ____ _______ ____ _______ __ _______ __ ___ _ __________ _________ ____ ___ _____","__ ____ _________ __ Roger tell a story. ____ ____ ______ ____ ___ __ ___ ____ _______ ____ _______ __ _______ __ ___ _ __________ _________ ____ ___ _____","__ ____ _________ __ _____ ____ _ ______ When ____ ______ ____ ___ __ ___ ____ _______ ____ _______ __ _______ __ ___ _ __________ _________ ____ ___ _____","__ ____ _________ __ _____ ____ _ ______ ____ each little girl ___ __ ___ ____ _______ ____ _______ __ _______ __ ___ _ __________ _________ ____ ___ _____","__ ____ _________ __ _____ ____ _ ______ ____ ____ ______ ____ was at the park _______ ____ _______ __ _______ __ ___ _ __________ _________ ____ ___ _____","__ ____ _________ __ _____ ____ _ ______ ____ ____ ______ ____ ___ __ ___ ____ playing with friends __ _______ __ ___ _ __________ _________ ____ ___ _____","__ ____ _________ __ _____ ____ _ ______ ____ ____ ______ ____ ___ __ ___ ____ _______ ____ _______ it appears he ___ _ __________ _________ ____ ___ _____","__ ____ _________ __ _____ ____ _ ______ ____ ____ ______ ____ ___ __ ___ ____ _______ ____ _______ __ _______ __ got a strawberry _________ ____ ___ _____","__ ____ _________ __ _____ ____ _ ______ ____ ____ ______ ____ ___ __ ___ ____ _______ ____ _______ __ _______ __ ___ _ __________ ice-cream cone ___ _____","__ ____ _________ __ _____ ____ _ ______ ____ ____ ______ ____ ___ __ ___ ____ _______ ____ _______ __ _______ __ ___ _ __________ _________ ____ for free.","Did Mary wash the dishes?","y"
"11b","mismatch","cc","__ ____ _________ __ _____ ____ _ ______ __ _______ ____ ______ ____ ___ __ ___ ____ _______ ____ _______ ____ __ ___ _ __________ _________ ____ ___ _____","We were listening to _____ ____ _ ______ __ _______ ____ ______ ____ ___ __ ___ ____ _______ ____ _______ ____ __ ___ _ __________ _________ ____ ___ _____","__ ____ _________ __ Roger tell a story. __ _______ ____ ______ ____ ___ __ ___ ____ _______ ____ _______ ____ __ ___ _ __________ _________ ____ ___ _____","__ ____ _________ __ _____ ____ _ ______ It appears ____ ______ ____ ___ __ ___ ____ _______ ____ _______ ____ __ ___ _ __________ _________ ____ ___ _____","__ ____ _________ __ _____ ____ _ ______ __ _______ each little girl ___ __ ___ ____ _______ ____ _______ ____ __ ___ _ __________ _________ ____ ___ _____","__ ____ _________ __ _____ ____ _ ______ __ _______ ____ ______ ____ was at the park _______ ____ _______ ____ __ ___ _ __________ _________ ____ ___ _____","__ ____ _________ __ _____ ____ _ ______ __ _______ ____ ______ ____ ___ __ ___ ____ playing with friends ____ __ ___ _ __________ _________ ____ ___ _____","__ ____ _________ __ _____ ____ _ ______ __ _______ ____ ______ ____ ___ __ ___ ____ _______ ____ _______ when he ___ _ __________ _________ ____ ___ _____","__ ____ _________ __ _____ ____ _ ______ __ _______ ____ ______ ____ ___ __ ___ ____ _______ ____ _______ ____ __ got a strawberry _________ ____ ___ _____","__ ____ _________ __ _____ ____ _ ______ __ _______ ____ ______ ____ ___ __ ___ ____ _______ ____ _______ ____ __ ___ _ __________ ice-cream cone ___ _____","__ ____ _________ __ _____ ____ _ ______ __ _______ ____ ______ ____ ___ __ ___ ____ _______ ____ _______ ____ __ ___ _ __________ _________ ____ for free.","Did Mary wash the dishes?","n"
"11c","match","nocc","__ ____ _________ __ _____ ____ _ ______ ____ ____ ______ ____ ___ __ ___ ____ _______ ____ _______ __ _______ ___ ___ _ __________ _________ ____ ___ _____","We were listening to _____ ____ _ ______ ____ ____ ______ ____ ___ __ ___ ____ _______ ____ _______ __ _______ ___ ___ _ __________ _________ ____ ___ _____","__ ____ _________ __ Roger tell a story. ____ ____ ______ ____ ___ __ ___ ____ _______ ____ _______ __ _______ ___ ___ _ __________ _________ ____ ___ _____","__ ____ _________ __ _____ ____ _ ______ When ____ ______ ____ ___ __ ___ ____ _______ ____ _______ __ _______ ___ ___ _ __________ _________ ____ ___ _____","__ ____ _________ __ _____ ____ _ ______ ____ each little girl ___ __ ___ ____ _______ ____ _______ __ _______ ___ ___ _ __________ _________ ____ ___ _____","__ ____ _________ __ _____ ____ _ ______ ____ ____ ______ ____ was at the park _______ ____ _______ __ _______ ___ ___ _ __________ _________ ____ ___ _____","__ ____ _________ __ _____ ____ _ ______ ____ ____ ______ ____ ___ __ ___ ____ playing with friends __ _______ ___ ___ _ __________ _________ ____ ___ _____","__ ____ _________ __ _____ ____ _ ______ ____ ____ ______ ____ ___ __ ___ ____ _______ ____ _______ it appears she ___ _ __________ _________ ____ ___ _____","__ ____ _________ __ _____ ____ _ ______ ____ ____ ______ ____ ___ __ ___ ____ _______ ____ _______ __ _______ ___ got a strawberry _________ ____ ___ _____","__ ____ _________ __ _____ ____ _ ______ ____ ____ ______ ____ ___ __ ___ ____ _______ ____ _______ __ _______ ___ ___ _ __________ ice-cream cone ___ _____","__ ____ _________ __ _____ ____ _ ______ ____ ____ ______ ____ ___ __ ___ ____ _______ ____ _______ __ _______ ___ ___ _ __________ _________ ____ for free.","Did Mary wash the dishes?","y"
"11d","match","cc","__ ____ _________ __ _____ ____ _ ______ __ _______ ____ ______ ____ ___ __ ___ ____ _______ ____ _______ ____ ___ ___ _ __________ _________ ____ ___ _____","We were listening to _____ ____ _ ______ __ _______ ____ ______ ____ ___ __ ___ ____ _______ ____ _______ ____ ___ ___ _ __________ _________ ____ ___ _____","__ ____ _________ __ Roger tell a story. __ _______ ____ ______ ____ ___ __ ___ ____ _______ ____ _______ ____ ___ ___ _ __________ _________ ____ ___ _____","__ ____ _________ __ _____ ____ _ ______ It appears ____ ______ ____ ___ __ ___ ____ _______ ____ _______ ____ ___ ___ _ __________ _________ ____ ___ _____","__ ____ _________ __ _____ ____ _ ______ __ _______ each little girl ___ __ ___ ____ _______ ____ _______ ____ ___ ___ _ __________ _________ ____ ___ _____","__ ____ _________ __ _____ ____ _ ______ __ _______ ____ ______ ____ was at the park _______ ____ _______ ____ ___ ___ _ __________ _________ ____ ___ _____","__ ____ _________ __ _____ ____ _ ______ __ _______ ____ ______ ____ ___ __ ___ ____ playing with friends ____ ___ ___ _ __________ _________ ____ ___ _____","__ ____ _________ __ _____ ____ _ ______ __ _______ ____ ______ ____ ___ __ ___ ____ _______ ____ _______ when she ___ _ __________ _________ ____ ___ _____","__ ____ _________ __ _____ ____ _ ______ __ _______ ____ ______ ____ ___ __ ___ ____ _______ ____ _______ ____ ___ got a strawberry _________ ____ ___ _____","__ ____ _________ __ _____ ____ _ ______ __ _______ ____ ______ ____ ___ __ ___ ____ _______ ____ _______ ____ ___ ___ _ __________ ice-cream cone ___ _____","__ ____ _________ __ _____ ____ _ ______ __ _______ ____ ______ ____ ___ __ ___ ____ _______ ____ _______ ____ ___ ___ _ __________ _________ ____ for free.","Did Mary wash the dishes?","n"
"12a","mismatch","nocc","_ _____ __ _______ ________ _____ ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ __ _____ ___ _________ _______ ___ _____ ___ ____ __ _____","I spoke to _______ ________ _____ ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ __ _____ ___ _________ _______ ___ _____ ___ ____ __ _____","_ _____ __ Jessica tonight. _____ ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ __ _____ ___ _________ _______ ___ _____ ___ ____ __ _____","_ _____ __ _______ ________ After ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ __ _____ ___ _________ _______ ___ _____ ___ ____ __ _____","_ _____ __ _______ ________ _____ each little boy ____ ____ ____ _ ____ ___ __ ______ __ _____ ___ _________ _______ ___ _____ ___ ____ __ _____","_ _____ __ _______ ________ _____ ____ ______ ___ came home ____ _ ____ ___ __ ______ __ _____ ___ _________ _______ ___ _____ ___ ____ __ _____","_ _____ __ _______ ________ _____ ____ ______ ___ ____ ____ from a long day at school __ _____ ___ _________ _______ ___ _____ ___ ____ __ _____","_ _____ __ _______ ________ _____ ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ it seems she _________ _______ ___ _____ ___ ____ __ _____","_ _____ __ _______ ________ _____ ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ __ _____ ___ practiced playing ___ _____ ___ ____ __ _____","_ _____ __ _______ ________ _____ ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ __ _____ ___ _________ _______ the piano ___ ____ __ _____","_ _____ __ _______ ________ _____ ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ __ _____ ___ _________ _______ ___ _____ for half an hour.","Did Mary wash the dishes?","n"
"12b","mismatch","cc","_ _____ __ _______ ________ __ _____ ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ ______ ___ _________ _______ ___ _____ ___ ____ __ _____","I spoke to _______ ________ __ _____ ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ ______ ___ _________ _______ ___ _____ ___ ____ __ _____","_ _____ __ Jessica tonight. __ _____ ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ ______ ___ _________ _______ ___ _____ ___ ____ __ _____","_ _____ __ _______ ________ It seems ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ ______ ___ _________ _______ ___ _____ ___ ____ __ _____","_ _____ __ _______ ________ __ _____ each little boy ____ ____ ____ _ ____ ___ __ ______ ______ ___ _________ _______ ___ _____ ___ ____ __ _____","_ _____ __ _______ ________ __ _____ ____ ______ ___ came home ____ _ ____ ___ __ ______ ______ ___ _________ _______ ___ _____ ___ ____ __ _____","_ _____ __ _______ ________ __ _____ ____ ______ ___ ____ ____ from a long day at school ______ ___ _________ _______ ___ _____ ___ ____ __ _____","_ _____ __ _______ ________ __ _____ ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ before she _________ _______ ___ _____ ___ ____ __ _____","_ _____ __ _______ ________ __ _____ ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ ______ ___ practiced playing ___ _____ ___ ____ __ _____","_ _____ __ _______ ________ __ _____ ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ ______ ___ _________ _______ the piano ___ ____ __ _____","_ _____ __ _______ ________ __ _____ ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ ______ ___ _________ _______ ___ _____ for half an hour.","Did Mary wash the dishes?","y"
"12c","match","nocc","_ _____ __ _______ ________ _____ ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ __ _____ __ _________ _______ ___ _____ ___ ____ __ _____","I spoke to _______ ________ _____ ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ __ _____ __ _________ _______ ___ _____ ___ ____ __ _____","_ _____ __ Jessica tonight. _____ ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ __ _____ __ _________ _______ ___ _____ ___ ____ __ _____","_ _____ __ _______ ________ After ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ __ _____ __ _________ _______ ___ _____ ___ ____ __ _____","_ _____ __ _______ ________ _____ each little boy ____ ____ ____ _ ____ ___ __ ______ __ _____ __ _________ _______ ___ _____ ___ ____ __ _____","_ _____ __ _______ ________ _____ ____ ______ ___ came home ____ _ ____ ___ __ ______ __ _____ __ _________ _______ ___ _____ ___ ____ __ _____","_ _____ __ _______ ________ _____ ____ ______ ___ ____ ____ from a long day at school __ _____ __ _________ _______ ___ _____ ___ ____ __ _____","_ _____ __ _______ ________ _____ ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ it seems he _________ _______ ___ _____ ___ ____ __ _____","_ _____ __ _______ ________ _____ ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ __ _____ __ practiced playing ___ _____ ___ ____ __ _____","_ _____ __ _______ ________ _____ ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ __ _____ __ _________ _______ the piano ___ ____ __ _____","_ _____ __ _______ ________ _____ ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ __ _____ __ _________ _______ ___ _____ for half an hour.","Did Mary wash the dishes?","n"
"12d","match","cc","_ _____ __ _______ ________ __ _____ ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ ______ __ _________ _______ ___ _____ ___ ____ __ _____","I spoke to _______ ________ __ _____ ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ ______ __ _________ _______ ___ _____ ___ ____ __ _____","_ _____ __ Jessica tonight. __ _____ ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ ______ __ _________ _______ ___ _____ ___ ____ __ _____","_ _____ __ _______ ________ It seems ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ ______ __ _________ _______ ___ _____ ___ ____ __ _____","_ _____ __ _______ ________ __ _____ each little boy ____ ____ ____ _ ____ ___ __ ______ ______ __ _________ _______ ___ _____ ___ ____ __ _____","_ _____ __ _______ ________ __ _____ ____ ______ ___ came home ____ _ ____ ___ __ ______ ______ __ _________ _______ ___ _____ ___ ____ __ _____","_ _____ __ _______ ________ __ _____ ____ ______ ___ ____ ____ from a long day at school ______ __ _________ _______ ___ _____ ___ ____ __ _____","_ _____ __ _______ ________ __ _____ ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ before he _________ _______ ___ _____ ___ ____ __ _____","_ _____ __ _______ ________ __ _____ ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ ______ __ practiced playing ___ _____ ___ ____ __ _____","_ _____ __ _______ ________ __ _____ ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ ______ __ _________ _______ the piano ___ ____ __ _____","_ _____ __ _______ ________ __ _____ ____ ______ ___ ____ ____ ____ _ ____ ___ __ ______ ______ __ _________ _______ ___ _____ for half an hour.","Did Mary wash the dishes?","y"
"13a","mismatch","nocc","_____ ___ _ ____ __________ ___ _____ _____ ____ ____________ _______ _______ __ ______ _____ __ ___ _______ __ _____ __ ______ ___ ______________ __ ________ _____ ___ _________","David and I ____ __________ ___ _____ _____ ____ ____________ _______ _______ __ ______ _____ __ ___ _______ __ _____ __ ______ ___ ______________ __ ________ _____ ___ _________","_____ ___ _ were discussing the news. _____ ____ ____________ _______ _______ __ ______ _____ __ ___ _______ __ _____ __ ______ ___ ______________ __ ________ _____ ___ _________","_____ ___ _ ____ __________ ___ _____ After ____ ____________ _______ _______ __ ______ _____ __ ___ _______ __ _____ __ ______ ___ ______________ __ ________ _____ ___ _________","_____ ___ _ ____ __________ ___ _____ _____ each kindergarten teacher _______ __ ______ _____ __ ___ _______ __ _____ __ ______ ___ ______________ __ ________ _____ ___ _________","_____ ___ _ ____ __________ ___ _____ _____ ____ ____________ _______ arrived at school _____ __ ___ _______ __ _____ __ ______ ___ ______________ __ ________ _____ ___ _________","_____ ___ _ ____ __________ ___ _____ _____ ____ ____________ _______ _______ __ ______ early in the morning __ _____ __ ______ ___ ______________ __ ________ _____ ___ _________","_____ ___ _ ____ __________ ___ _____ _____ ____ ____________ _______ _______ __ ______ _____ __ ___ _______ it seems he ______ ___ ______________ __ ________ _____ ___ _________","_____ ___ _ ____ __________ ___ _____ _____ ____ ____________ _______ _______ __ ______ _____ __ ___ _______ __ _____ __ phoned the superintendent __ ________ _____ ___ _________","_____ ___ _ ____ __________ ___ _____ _____ ____ ____________ _______ _______ __ ______ _____ __ ___ _______ __ _____ __ ______ ___ ______________ to complain _____ ___ _________","_____ ___ _ ____ __________ ___ _____ _____ ____ ____________ _______ _______ __ ______ _____ __ ___ _______ __ _____ __ ______ ___ ______________ __ ________ about low salaries.","Did Mary wash the dishes?","y"
"13b","mismatch","cc","_____ ___ _ ____ __________ ___ _____ __ _____ ____ ____________ _______ _______ __ ______ _____ __ ___ _______ _____ __ ______ ___ ______________ __ ________ _____ ___ _________","David and I ____ __________ ___ _____ __ _____ ____ ____________ _______ _______ __ ______ _____ __ ___ _______ _____ __ ______ ___ ______________ __ ________ _____ ___ _________","_____ ___ _ were discussing the news. __ _____ ____ ____________ _______ _______ __ ______ _____ __ ___ _______ _____ __ ______ ___ ______________ __ ________ _____ ___ _________","_____ ___ _ ____ __________ ___ _____ It seems ____ ____________ _______ _______ __ ______ _____ __ ___ _______ _____ __ ______ ___ ______________ __ ________ _____ ___ _________","_____ ___ _ ____ __________ ___ _____ __ _____ each kindergarten teacher _______ __ ______ _____ __ ___ _______ _____ __ ______ ___ ______________ __ ________ _____ ___ _________","_____ ___ _ ____ __________ ___ _____ __ _____ ____ ____________ _______ arrived at school _____ __ ___ _______ _____ __ ______ ___ ______________ __ ________ _____ ___ _________","_____ ___ _ ____ __________ ___ _____ __ _____ ____ ____________ _______ _______ __ ______ early in the morning _____ __ ______ ___ ______________ __ ________ _____ ___ _________","_____ ___ _ ____ __________ ___ _____ __ _____ ____ ____________ _______ _______ __ ______ _____ __ ___ _______ after he ______ ___ ______________ __ ________ _____ ___ _________","_____ ___ _ ____ __________ ___ _____ __ _____ ____ ____________ _______ _______ __ ______ _____ __ ___ _______ _____ __ phoned the superintendent __ ________ _____ ___ _________","_____ ___ _ ____ __________ ___ _____ __ _____ ____ ____________ _______ _______ __ ______ _____ __ ___ _______ _____ __ ______ ___ ______________ to complain _____ ___ _________","_____ ___ _ ____ __________ ___ _____ __ _____ ____ ____________ _______ _______ __ ______ _____ __ ___ _______ _____ __ ______ ___ ______________ __ ________ about low salaries.","Did Mary wash the dishes?","n"
"13c","match","nocc","_____ ___ _ ____ __________ ___ _____ _____ ____ ____________ _______ _______ __ ______ _____ __ ___ _______ __ _____ ___ ______ ___ ______________ __ ________ _____ ___ _________","David and I ____ __________ ___ _____ _____ ____ ____________ _______ _______ __ ______ _____ __ ___ _______ __ _____ ___ ______ ___ ______________ __ ________ _____ ___ _________","_____ ___ _ were discussing the news. _____ ____ ____________ _______ _______ __ ______ _____ __ ___ _______ __ _____ ___ ______ ___ ______________ __ ________ _____ ___ _________","_____ ___ _ ____ __________ ___ _____ After ____ ____________ _______ _______ __ ______ _____ __ ___ _______ __ _____ ___ ______ ___ ______________ __ ________ _____ ___ _________","_____ ___ _ ____ __________ ___ _____ _____ each kindergarten teacher _______ __ ______ _____ __ ___ _______ __ _____ ___ ______ ___ ______________ __ ________ _____ ___ _________","_____ ___ _ ____ __________ ___ _____ _____ ____ ____________ _______ arrived at school _____ __ ___ _______ __ _____ ___ ______ ___ ______________ __ ________ _____ ___ _________","_____ ___ _ ____ __________ ___ _____ _____ ____ ____________ _______ _______ __ ______ early in the morning __ _____ ___ ______ ___ ______________ __ ________ _____ ___ _________","_____ ___ _ ____ __________ ___ _____ _____ ____ ____________ _______ _______ __ ______ _____ __ ___ _______ it seems she ______ ___ ______________ __ ________ _____ ___ _________","_____ ___ _ ____ __________ ___ _____ _____ ____ ____________ _______ _______ __ ______ _____ __ ___ _______ __ _____ ___ phoned the superintendent __ ________ _____ ___ _________","_____ ___ _ ____ __________ ___ _____ _____ ____ ____________ _______ _______ __ ______ _____ __ ___ _______ __ _____ ___ ______ ___ ______________ to complain _____ ___ _________","_____ ___ _ ____ __________ ___ _____ _____ ____ ____________ _______ _______ __ ______ _____ __ ___ _______ __ _____ ___ ______ ___ ______________ __ ________ about low salaries.","Did Mary wash the dishes?","y"
"13d","match","cc","_____ ___ _ ____ __________ ___ _____ __ _____ ____ ____________ _______ _______ __ ______ _____ __ ___ _______ ______ ___ ______ ___ ______________ __ ________ _____ ___ _________","David and I ____ __________ ___ _____ __ _____ ____ ____________ _______ _______ __ ______ _____ __ ___ _______ ______ ___ ______ ___ ______________ __ ________ _____ ___ _________","_____ ___ _ were discussing the news. __ _____ ____ ____________ _______ _______ __ ______ _____ __ ___ _______ ______ ___ ______ ___ ______________ __ ________ _____ ___ _________","_____ ___ _ ____ __________ ___ _____ It seems ____ ____________ _______ _______ __ ______ _____ __ ___ _______ ______ ___ ______ ___ ______________ __ ________ _____ ___ _________","_____ ___ _ ____ __________ ___ _____ __ _____ each kindergarten teacher _______ __ ______ _____ __ ___ _______ ______ ___ ______ ___ ______________ __ ________ _____ ___ _________","_____ ___ _ ____ __________ ___ _____ __ _____ ____ ____________ _______ arrived at school _____ __ ___ _______ ______ ___ ______ ___ ______________ __ ________ _____ ___ _________","_____ ___ _ ____ __________ ___ _____ __ _____ ____ ____________ _______ _______ __ ______ early in the morning -after she ______ ___ ______________ __ ________ _____ ___ _________","_____ ___ _ ____ __________ ___ _____ __ _____ ____ ____________ _______ _______ __ ______ _____ __ ___ _______ ______ ___ phoned the superintendent __ ________ _____ ___ _________","_____ ___ _ ____ __________ ___ _____ __ _____ ____ ____________ _______ _______ __ ______ _____ __ ___ _______ ______ ___ ______ ___ ______________ to complain _____ ___ _________","_____ ___ _ ____ __________ ___ _____ __ _____ ____ ____________ _______ _______ __ ______ _____ __ ___ _______ ______ ___ ______ ___ ______________ __ ________ about low salaries.","","Did Mary wash the dishes?","n"
